id_puesto;nom_puesto;territorio;ALVARO ALEJANDRO EDER GARCES;DANIS ANTONIO RENTERIA CHALA;DENINSON MENDOZA RAMOS;DIANA CAROLINA ROJAS ATEHORTUA;EDILSON HUERFANO ORDOÑEZ;HERIBERTO ESCOBAR GONZALEZ;MIYERLANDI TORRES AGREDO;ROBERTO ORTIZ URUEÑA;VOTOS EN BLANCO;VOTOS NO MARCADOS;VOTOS NULOS;WILFREDO PARDO HERRERA;WILSON RUIZ OREJUELA;TOTAL_VOTOS;%_Eder;%_Renteria;%_Ortiz;%_BLANCO;gana
0101;ESC. JOSE ACEVEDO Y GOMEZ;01COMUNA 1;719,0;281,0;41,0;21,0;52,0;6,0;110,0;802,0;293,0;96,0;66,0;6,0;11,0;2504,0;28,7;11,2;32,0;11,7;ROBERTO ORTIZ URUEÑA
0102;IE JOSE HOLGUIN GARCES;01COMUNA 1;1082,0;532,0;57,0;33,0;107,0;19,0;213,0;1323,0;509,0;200,0;113,0;6,0;10,0;4204,0;25,7;12,7;31,5;12,1;ROBERTO ORTIZ URUEÑA
0103;IE JOSE CELESTINO MUTIS;01COMUNA 1;1390,0;570,0;47,0;0,0;141,0;25,0;261,0;1608,0;513,0;335,0;137,0;7,0;0,0;5034,0;27,6;11,3;31,9;10,2;ROBERTO ORTIZ URUEÑA
0104;COLISEO BAJO AGUACATAL;01COMUNA 1;963,0;226,0;30,0;18,0;37,0;13,0;79,0;577,0;240,0;77,0;37,0;1,0;7,0;2305,0;41,8;9,8;25,0;10,4;ALVARO ALEJANDRO EDER GARCES
0105;IE CECILIA CABALLERO;01COMUNA 1;254,0;108,0;16,0;12,0;24,0;7,0;49,0;390,0;128,0;71,0;33,0;2,0;3,0;1097,0;23,2;9,9;35,6;11,7;ROBERTO ORTIZ URUEÑA
0106;SEDE MARICE SINISTERRA TERRON;01COMUNA 1;362,0;160,0;29,0;19,0;27,0;9,0;40,0;445,0;166,0;52,0;20,0;0,0;3,0;1332,0;27,2;12,0;33,4;12,5;ROBERTO ORTIZ URUEÑA
0107;COL SANTA ISABEL DE HUNGRIA AGUACATAL;01COMUNA 1;200,0;90,0;14,0;0,0;17,0;3,0;30,0;245,0;110,0;55,0;23,0;0,0;0,0;787,0;25,4;11,4;31,1;14,0;ROBERTO ORTIZ URUEÑA
0108;IE ISAIAS GAMBOA;01COMUNA 1;31,0;17,0;3,0;4,0;3,0;0,0;6,0;67,0;12,0;3,0;2,0;0,0;1,0;149,0;20,8;11,4;45,0;8,1;ROBERTO ORTIZ URUEÑA
0201;INST UNIV ANTONIO JOSE CAMACHO;02COMUNA 2;4441,0;379,0;87,0;0,0;53,0;10,0;141,0;841,0;416,0;63,0;44,0;6,0;10,0;6491,0;68,4;5,8;13,0;6,4;ALVARO ALEJANDRO EDER GARCES
0202;EDIFICIO FERROCARRILES NACIONALES;02COMUNA 2;2385,0;267,0;53,0;29,0;40,0;17,0;116,0;590,0;399,0;27,0;45,0;3,0;4,0;3975,0;60,0;6,7;14,8;10,0;ALVARO ALEJANDRO EDER GARCES
0203;C.A.M.;02COMUNA 2;4307,0;520,0;63,0;1,0;101,0;27,0;172,0;1217,0;455,0;146,0;77,0;11,0;1,0;7098,0;60,7;7,3;17,2;6,4;ALVARO ALEJANDRO EDER GARCES
0204;COLEGIO ODONTOLOGICO;02COMUNA 2;1800,0;193,0;26,0;10,0;34,0;9,0;61,0;458,0;156,0;26,0;21,0;2,0;4,0;2800,0;64,3;6,9;16,4;5,6;ALVARO ALEJANDRO EDER GARCES
